t,S,B,M
7.632000,0.426007,0.730714,0.000213
7.680000,0.425758,0.730965,0.000214
7.728000,0.425515,0.731209,0.000214
7.776000,0.425279,0.731448,0.000214
7.824000,0.425048,0.731680,0.000215
7.872000,0.424823,0.731907,0.000215
7.920000,0.424603,0.732128,0.000215
7.968000,0.424389,0.732343,0.000216
8.016000,0.424180,0.732554,0.000216
8.064000,0.423977,0.732759,0.000216
8.112000,0.423778,0.732959,0.000217
8.160000,0.423584,0.733154,0.000217
8.208000,0.423396,0.733344,0.000217
8.256000,0.423211,0.733529,0.000218
8.304000,0.423032,0.733710,0.000218
8.352000,0.422857,0.733886,0.000218
8.400000,0.422686,0.734058,0.000219
8.448000,0.422520,0.734226,0.000219
8.496000,0.422357,0.734390,0.000219
8.544000,0.422198,0.734549,0.000219
8.592000,0.422044,0.734705,0.000220
8.640000,0.421893,0.734856,0.000220
8.688000,0.421746,0.735004,0.000220
8.736000,0.421603,0.735148,0.000220
8.784000,0.421463,0.735289,0.000221
8.832000,0.421327,0.735426,0.000221
8.880000,0.421194,0.735560,0.000221
8.928000,0.421064,0.735691,0.000221
8.976000,0.420938,0.735818,0.000222
9.024000,0.420814,0.735942,0.000222
9.072000,0.420694,0.736063,0.000222
9.120000,0.420577,0.736181,0.000222
9.168000,0.420462,0.736297,0.000222
9.216000,0.420351,0.736409,0.000223
9.264000,0.420242,0.736518,0.000223
9.312000,0.420136,0.736625,0.000223
9.360000,0.420032,0.736729,0.000223
9.408000,0.419931,0.736831,0.000223
9.456000,0.419833,0.736930,0.000223
9.504000,0.419737,0.737026,0.000224
9.552000,0.419643,0.737120,0.000224
9.600000,0.419552,0.737212,0.000224
9.648000,0.419463,0.737302,0.000224
9.696000,0.419376,0.737389,0.000224
9.744000,0.419291,0.737475,0.000224
9.792000,0.419209,0.737558,0.000224
9.840000,0.419128,0.737639,0.000225
9.888000,0.419049,0.737718,0.000225
9.936000,0.418973,0.737795,0.000225
9.984000,0.418898,0.737870,0.000225
10.032000,0.418825,0.737944,0.000225
10.080000,0.418754,0.738015,0.000225
