t,S,B,M
23.952000,0.415944,0.740840,0.000230
24.000000,0.415924,0.740849,0.000230
24.048000,0.378583,0.758058,0.000384
24.096000,0.344596,0.774312,0.000563
24.144000,0.313659,0.789616,0.000774
24.192000,0.285493,0.803988,0.001022
24.240000,0.259849,0.817451,0.001317
24.288000,0.236498,0.830034,0.001669
24.336000,0.215231,0.841768,0.002090
24.384000,0.195860,0.852688,0.002595
24.432000,0.178216,0.862831,0.003202
24.480000,0.162142,0.872234,0.003931
24.528000,0.147500,0.880931,0.004807
24.576000,0.134163,0.888959,0.005861
24.624000,0.122014,0.896351,0.007126
24.672000,0.110951,0.903138,0.008645
24.720000,0.100877,0.909348,0.010467
24.768000,0.091707,0.915007,0.012648
24.816000,0.083362,0.920135,0.015254
24.864000,0.075768,0.924751,0.018363
24.912000,0.068860,0.928866,0.022059
24.960000,0.062577,0.932486,0.026443
25.008000,0.056864,0.935612,0.031621
25.056000,0.051671,0.938234,0.037713
25.104000,0.046949,0.940336,0.044848
25.152000,0.042658,0.941890,0.053157
25.200000,0.038757,0.942859,0.062777
25.248000,0.035213,0.943191,0.073840
25.296000,0.031992,0.942822,0.086469
25.344000,0.029066,0.941675,0.100768
25.392000,0.026406,0.939662,0.116817
25.440000,0.023990,0.936685,0.134663
25.488000,0.021795,0.932641,0.154311
25.536000,0.019801,0.927432,0.175722
25.584000,0.017989,0.920964,0.198810
25.632000,0.016343,0.913164,0.223441
25.680000,0.014847,0.903982,0.249439
25.728000,0.013488,0.893400,0.276593
25.776000,0.012254,0.881436,0.304669
25.824000,0.011132,0.868145,0.333415
25.872000,0.010113,0.853616,0.362574
25.920000,0.009188,0.837968,0.391898
25.968000,0.008347,0.821344,0.421149
26.016000,0.007583,0.803904,0.450111
26.064000,0.006889,0.785815,0.478590
26.112000,0.006259,0.767247,0.506418
26.160000,0.005686,0.748365,0.533459
26.208000,0.005165,0.729325,0.559596
26.256000,0.004693,0.710271,0.584745
26.304000,0.004263,0.691332,0.608840
26.352000,0.003873,0.672622,0.631837
26.400000,0.003519,0.654239,0.653712
26.448000,0.003197,0.636265,0.674454
26.496000,0.002904,0.618770,0.694068
26.544000,0.002638,0.601807,0.712567
26.592000,0.002397,0.585418,0.729975
26.640000,0.002178,0.569636,0.746322
26.688000,0.001978,0.554481,0.761643
26.736000,0.001797,0.539967,0.775978
26.784000,0.001633,0.526100,0.789368
26.832000,0.001484,0.512880,0.801858
26.880000,0.001348,0.500301,0.813491
26.928000,0.001225,0.488354,0.824314
26.976000,0.001113,0.477027,0.834370
27.024000,0.001011,0.466304,0.843704
27.072000,0.000918,0.456166,0.852358
27.120000,0.000834,0.446594,0.860374
27.168000,0.000758,0.437569,0.867793
27.216000,0.000689,0.429067,0.874653
27.264000,0.000626,0.421068,0.880990
27.312000,0.000569,0.413549,0.886839
27.360000,0.000517,0.406487,0.892235
27.408000,0.000469,0.399861,0.897207
27.456000,0.000427,0.393649,0.901787
27.504000,0.000388,0.387830,0.906002
27.552000,0.000352,0.382383,0.909878
27.600000,0.000320,0.377287,0.913441
27.648000,0.000291,0.372524,0.916713
27.696000,0.000264,0.368074,0.919716
27.744000,0.000240,0.363920,0.922470
27.792000,0.000218,0.360044,0.924995
27.840000,0.000199,0.356429,0.927307
27.888000,0.000181,0.353061,0.929425
27.936000,0.000164,0.349923,0.931362
27.984000,0.000149,0.347001,0.933133
28.032000,0.000136,0.344283,0.934751
28.080000,0.000123,0.341754,0.936229
28.128000,0.000112,0.339404,0.937578
28.176000,0.000102,0.337220,0.938808
28.224000,0.000093,0.335192,0.939930
28.272000,0.000084,0.333309,0.940951
28.320000,0.000077,0.331562,0.941881
28.368000,0.000070,0.329941,0.942728
28.416000,0.000064,0.328439,0.943497
28.464000,0.000058,0.327046,0.944197
28.512000,0.000053,0.325756,0.944832
28.560000,0.000048,0.324562,0.945409
28.608000,0.000044,0.323456,0.945932
28.656000,0.000040,0.322433,0.946406
28.704000,0.000036,0.321487,0.946836
28.752000,0.000033,0.320613,0.947225
28.800000,0.000030,0.319804,0.947578
28.848000,0.000028,0.319057,0.947897
28.896000,0.000025,0.318367,0.948185
28.944000,0.000023,0.317731,0.948445
28.992000,0.000021,0.317143,0.948680
29.040000,0.000019,0.316601,0.948891
29.088000,0.000018,0.316101,0.949083
29.136000,0.000016,0.315640,0.949255
29.184000,0.000015,0.315215,0.949410
29.232000,0.000014,0.314824,0.949549
29.280000,0.000012,0.314464,0.949675
29.328000,0.000011,0.314132,0.949787
29.376000,0.000011,0.313827,0.949889
29.424000,0.000010,0.313546,0.949980
29.472000,0.000009,0.313287,0.950061
29.520000,0.000008,0.313049,0.950134
29.568000,0.000008,0.312831,0.950199
29.616000,0.000007,0.312631,0.950258
